Game,TCP,UDP,
Alwa's Awakening Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Alwa's Awakening Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Amcrest IP2M-841 IP Camera,"80, 443, 554, 37777",37778,
Amcrest IPM-721 IP Camera,"80, 443, 554, 37777",37778,
American Truck Simulator Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Americas Army,"14200, 20025-20048","1716-1718, 8777, 27900",
Americas Army True Soldiers Xbox 360,3074,3074,
Amnesia Collection Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Amnesia Collection Xbox One,3074,"88, 500, 3074, 3544, 4500",
Amnesia: A Machine for Pigs,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Amnesia: The Dark Descent,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Among Ripples Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Among Trees Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Amped 3 Xbox 360,3074,3074,
Amphibian Man Playstation 3,5223,"5223, 3478, 3479, 3658",
Amplitude Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Amplitude Playstation 4,"1935, 3478-3480","3074, 3478-3479",
An Awesome Game Xbox 360,3074,3074,
Anarchy Online BETA,"7013, 7500-7501","7013, 7500-7501",
Anarchy Reigns Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Anarchy Reigns Xbox 360,3074,"88, 3074",
Ancestors Legacy Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Ancestors Legacy Xbox One,3074,"88, 500, 3074, 3544, 4500",
Ancestors: The Humankind Odyssey Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Ancestors: The Humankind Odyssey Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Ancestors: The Humankind Odyssey Xbox One,3074,"88, 500, 3074, 3544, 4500",
Ancient Frontier: Steel Shadows Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Ancient Space Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Angel Love Online Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Angry Birds Trilogy Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Angry Birds Trilogy Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Angry Birds Trilogy Xbox 360,3074,"88, 3074",
Anima: Ark of Sinners Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Anima: Gate of Memories,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Anima: Gate of Memories Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Anima: Gate of Memories Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Anima: Gate of Memories Xbox One,3074,"88, 500, 3074, 3544, 4500",
Anima: Gate of Memories - The Nameless Chronicles,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Anima: Gate of Memories - The Nameless Chronicles Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Anima: Gate of Memories - The Nameless Chronicles Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Anima: Gate of Memories - The Nameless Chronicles Xbox One,3074,"88, 500, 3074, 3544, 4500",
Animus Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Animus: Stand Alone Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Anno 2070,"80, 443, 3074, 13000, 13005, 13200, 14000-14001, 14008","80, 3074",
Anodyne Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Anodyne Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Anodyne Xbox One,3074,"88, 500, 3074, 3544, 4500",
Anodyne Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Anodyne 2: Return to Dust Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Anthem,8080,"3659, 21000-26000",
Anthem Playstation 4,"1935, 3478-3480, 8080","3074, 3478-3479, 3659, 21000-26000",
Anthem Xbox One,"3074, 8080","88, 500, 3074, 3544, 3659, 4500, 21000-26000",
Antigraviator,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Antigraviator Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Antigraviator Xbox One,3074,"88, 500, 3074, 3544, 4500",
Antiquia Lost Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Antiquia Lost Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Antiquia Lost Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Apache,"80, 443",,
APB Xbox 360,3074,3074,
APB,"80, 443, 2106, 3720","3478-3479, 3722-3730, 5060, 5062, 12000-17000",
